bookId,英文书名,中文书名,wordEn,wordCn
youyou-3-33,Who's Stronger,谁更强壮？,strong,强壮的
youyou-3-33,Who's Stronger,谁更强壮？,bear,熊
youyou-3-33,Who's Stronger,谁更强壮？,elephant,大象
youyou-3-51,Whose tooth,谁的牙齿？,tooth,牙齿
youyou-3-51,Whose tooth,谁的牙齿？,shark,鲨鱼
ls-phonics-2-01,Doctor Duck,鸭子医生,duck,鸭子
ls-phonics-2-01,Doctor Duck,鸭子医生,doctor,医生
